id	nom	quantite	unite	points	categorie_id	zero_point
1	Abricot	1	portion	0	7	1
2	Agaric champêtre (Rosé des prés)	1	portion	0	8	1
3	Aiguillat commun	1	portion	0	5	1
4	Airelles	1	portion	0	7	1
5	Alose	1	portion	0	5	1
6	Avocat	1	portion	0	8	1
7	Baies de sureau	1	portion	0	7	1
8	Banane	1	portion	0	7	1
9	Bar (loup)	1	portion	0	5	1
10	Barbue	1	portion	0	5	1
11	Baudroie	1	portion	0	5	1
12	Betterave rouge	1	portion	0	8	1
13	Cabillaud	1	portion	0	5	1
14	Calamar	1	portion	0	5	1
15	Canneberge fraîche	1	portion	0	7	1
16	Carambole	1	portion	0	7	1
17	Cardon	1	portion	0	8	1
18	Carotte	1	portion	0	8	1
19	Carpe	1	portion	0	5	1
20	Carrelet	1	portion	0	5	1
21	Cassis	1	portion	0	7	1
22	Caviar	1	portion	0	5	1
23	Céleri branche	1	portion	0	8	1
24	Céleri rave	1	portion	0	8	1
25	Cèpes	1	portion	0	8	1
26	Cerise	1	portion	0	7	1
27	Champignons	1	portion	0	8	1
28	Champignons de Paris	1	portion	0	8	1
29	Champignons shiitake	1	portion	0	8	1
30	Chanterelles	1	portion	0	8	1
31	Chatrou	1	portion	0	5	1
32	Chayotte, christophine	1	portion	0	8	1
33	Dinde : escalope ou filet	1	portion	0	4	1
34	Échalote	1	portion	0	8	1
35	Ecrevisses (décortiquées)	1	portion	0	5	1
36	Eglefin	1	portion	0	5	1
37	Empereur	1	portion	0	5	1
38	Encornet	1	portion	0	5	1
39	Fenouil	1	portion	0	8	1
40	Feuille de vigne	1	portion	0	2	1
41	Fèves	1	portion	0	8	1
42	Figue de barbarie	1	portion	0	7	1
43	Figue fraîche	1	portion	0	7	1
44	Filet de poulet fumé	1	portion	0	4	1
45	Filets de maquereaux en conserve au naturel	1	portion	0	5	1
46	Gambas (décortiquées)	1	portion	0	5	1
47	Germe de soja	1	portion	0	8	1
48	Girolles	1	portion	0	8	1
49	Gombos bouillis	1	portion	0	8	1
50	Haddock (églefin fumé)	1	portion	0	5	1
51	Hareng frais	1	portion	0	5	1
52	Hareng fumé	1	portion	0	5	1
53	Haricot beurre	1	portion	0	8	1
54	Haricot vert	1	portion	0	8	1
55	Haricots Azuki	1	portion	0	8	1
56	Jambon de dinde ou blanc de dinde	1	portion	0	4	1
57	Jambon de poulet ou blanc de poulet	1	portion	0	4	1
58	Kaki	1	portion	0	7	1
59	Lactaires	1	portion	0	8	1
60	Laitue	1	portion	0	8	1
